Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
26,0.1054842,0.2184402,0.0433764,0.0621612,0.1724424,0.4118,0.191229,0.1823766,0.0932106,0.1397556,0.0477558,0.0511752,0.109374,0.130014,0.084276,0.1882452,0.239457,0.1084548,0.1744602,0.109638,0.1072398,0.1105014,0.121142043,0,0.219276,0.1670712,0.2063418,0.1369686,0.625,0.007
27,0.0904728,0.2018802,0.035799,0.056106,0.1598976,0.4341,0.1915764,0.1876902,0.0912048,0.1334802,0.0502446,0.0505524,0.0973146,0.1503738,0.088977,0.1785906,0.2276298,0.1122576,0.1661982,0.1210182,0.0950172,0.1099206,0.123957818,0,0.197928,0.1600842,0.1816632,0.1222536,0.634,0.013
28,0.0787776,0.1807092,0.0298452,0.0492912,0.150117,0.469,0.1896714,0.1928448,0.0903828,0.123849,0.0527688,0.0494958,0.0880254,0.173814,0.0911058,0.1620132,0.2101302,0.1178856,0.1618944,0.1320264,0.0861096,0.1089258,0.127062115,0,0.1738614,0.1550712,0.1650588,0.1142556,0.597,0.018
29,0.0700296,0.1614702,0.0311814,0.0409272,0.1429998,0.4781,0.1865814,0.2028078,0.0895926,0.1133898,0.0492342,0.041724,0.0738276,0.1973784,0.0867384,0.142731,0.1902372,0.1201314,0.160794,0.1366104,0.092964,0.109269,0.130445464,0,0.1525002,0.1569354,0.1622568,0.1216794,0.557,0.018
30,0.0633468,0.1491786,0.0345168,0.0343008,0.1388466,0.5239,0.1858764,0.2116458,0.087147,0.1057296,0.041985,0.0329214,0.0600834,0.2211048,0.0838884,0.1293246,0.1778472,0.121056,0.1617792,0.1365336,0.1021512,0.1115592,0.134097464,0,0.1405902,0.164025,0.1634628,0.1351974,0.553,0.02
31,0.0574536,0.1359564,0.0372984,0.031353,0.138474,0.5262,0.1856382,0.2172762,0.0858708,0.0982836,0.0363168,0.0266712,0.0472704,0.2437062,0.0848562,0.1193706,0.1677624,0.1177368,0.1649106,0.1350726,0.1076376,0.1141032,0.138006901,0,0.1405776,0.1746732,0.1571136,0.1425,0.536,0.017
32,0.0522372,0.118479,0.0389334,0.0316686,0.1439436,0.5303,0.1838718,0.2189124,0.0880926,0.0910056,0.0322254,0.0221052,0.0365148,0.259722,0.0881946,0.1099482,0.1525836,0.1093812,0.1739502,0.1322352,0.1078698,0.1174668,0.142161872,0,0.1511358,0.1861896,0.1486218,0.149394,0.513,0.002
33,0.047016,0.1029546,0.0362142,0.0319962,0.152712,0.5311,0.1800936,0.219045,0.0902904,0.0858126,0.02772,0.0190182,0.0264324,0.267027,0.0911604,0.1003074,0.135537,0.1008942,0.1859658,0.1273602,0.0965454,0.1209438,0.151648182,0,0.173397,0.2014854,0.1475172,0.1624074,0.564,0.001
34,0.0426156,0.0927678,0.0321012,0.0312198,0.1588542,0.5441,0.180504,0.2129196,0.0902442,0.0833118,0.0244254,0.01782,0.0189528,0.269001,0.094191,0.0883092,0.121932,0.0927186,0.1949754,0.1150506,0.0767022,0.1266078,0.16126056,0,0.201237,0.2192028,0.1539672,0.1801512,0.54,0.001
35,0.0393174,0.0851412,0.0334542,0.031536,0.1610664,0.5396,0.1904028,0.2036706,0.0890868,0.0775698,0.0218256,0.0181242,0.0154584,0.2638194,0.1045314,0.0734898,0.11319,0.087528,0.1964898,0.0867498,0.0672738,0.1305768,0.170933366,0,0.2202294,0.2385264,0.1623834,0.1910142,0.482,0
36,0.043113,0.0783984,0.0357444,0.0365604,0.1753848,0.5376,0.2010048,0.2176734,0.0892284,0.0730002,0.019413,0.0191388,0.015741,0.2625432,0.1120176,0.0673008,0.1047678,0.086739,0.2015346,0.0718812,0.0698346,0.1333242,0.180619534,0,0.2337756,0.2521272,0.1713792,0.1981962,0.46,0
37,0.0535692,0.0816888,0.0352212,0.0441762,0.1952844,0.5396,0.2076684,0.2299098,0.0901902,0.0773598,0.018024,0.0202356,0.0192222,0.2698536,0.110565,0.0688686,0.1032018,0.0933774,0.2090484,0.0655572,0.070221,0.138915,0.190285172,0.011749486,0.2488308,0.2612112,0.1789254,0.2022402,0.454,0
38,0.0670644,0.0930678,0.034989,0.0511374,0.202479,0.541,0.2070606,0.23541,0.091911,0.083922,0.0170304,0.0226674,0.0254244,0.2798034,0.1020222,0.0740892,0.1108056,0.1048884,0.2168958,0.0576384,0.0709908,0.1487682,0.199905771,0.011601247,0.2667708,0.2621232,0.1823382,0.2034504,0.424,0
39,0.0834264,0.1114878,0.039066,0.053013,0.2021688,0.5388,0.2090418,0.244314,0.0941202,0.0878262,0.014931,0.0263652,0.0356664,0.2827092,0.0898374,0.0790062,0.1268196,0.1117326,0.2286534,0.0531102,0.0804696,0.1583916,0.164688967,0.011414338,0.2866566,0.2594868,0.1911174,0.2066184,0.429,0
40,0.1139034,0.1385202,0.0445356,0.0483804,0.2058126,0.5399,0.218133,0.2537586,0.0961392,0.0891606,0.0120306,0.0335616,0.0575706,0.2815572,0.0777108,0.0848676,0.153531,0.115644,0.2445864,0.0553416,0.0918834,0.1668864,0.136468665,0.022712331,0.310125,0.259506,0.2161794,0.2205594,0.507,0.001
41,0.1508352,0.1675698,0.0487092,0.0437556,0.2126304,0.5408,0.2186028,0.2372664,0.0984426,0.0963948,0.010113,0.0438756,0.0917472,0.2763558,0.0732552,0.0937608,0.1768614,0.1133916,0.2603934,0.06024,0.0994446,0.1756794,0.118149004,0.02258614,0.3291528,0.2544294,0.2508828,0.2345232,0.562,0.019
42,0.1776726,0.1925526,0.0519864,0.0359946,0.2156274,0.5466,0.212046,0.2265654,0.1009806,0.1107498,0.0091008,0.053562,0.1225404,0.270105,0.0741504,0.1031214,0.1873788,0.1133184,0.2717682,0.0784752,0.1012266,0.1806354,0.110086581,0.024039831,0.3460914,0.2450562,0.2835888,0.2408952,0.6,0.073
43,0.1866216,0.2079186,0.0544866,0.0298578,0.2178966,0.5508,0.211083,0.2448888,0.1031328,0.1221726,0.0093702,0.0603114,0.1373064,0.2596386,0.076347,0.109863,0.1929264,0.1241652,0.2839662,0.1235844,0.100407,0.1820058,0.110852568,0.019921032,0.3512778,0.2360646,0.30618,0.2428512,0.605,0.117
44,0.1859856,0.216441,0.0559824,0.0280584,0.2210706,0.5498,0.2197974,0.2595798,0.105672,0.1286658,0.0104388,0.065433,0.1386756,0.2583888,0.0775308,0.116718,0.205215,0.1437744,0.291726,0.1666758,0.098859,0.1830486,0.12104597,0.023998,0.3527208,0.2304054,0.3190656,0.2442966,0.625,0.143
45,0.1798764,0.2211474,0.0549696,0.029202,0.2223114,0.5471,0.2370294,0.2651706,0.1082178,0.1321674,0.0114888,0.0696108,0.128601,0.2599908,0.0764574,0.130974,0.2204364,0.1645644,0.2942718,0.1940448,0.0957822,0.185553,0.114748496,0.032454342,0.3533238,0.2261778,0.3246354,0.243987,0.616,0.16
46,0.1715598,0.2247558,0.0527628,0.0343494,0.2203524,0.5443,0.2562282,0.264936,0.1123806,0.1341864,0.0116892,0.0715872,0.1162536,0.260985,0.073248,0.1533996,0.2347314,0.1803456,0.2960286,0.2110224,0.091635,0.1879608,0.109940312,0.034473159,0.3595914,0.2205024,0.3209016,0.236742,0.593,0.164
47,0.1603986,0.2323428,0.0551526,0.0388548,0.216555,0.548,0.271095,0.2630316,0.115467,0.136863,0.0106578,0.0705738,0.1078458,0.2511054,0.0679212,0.1751844,0.2494812,0.192876,0.3017436,0.2249916,0.0886068,0.1906998,0.106566793,0.036996058,0.3663852,0.2209404,0.3158334,0.233904,0.601,0.16
48,0.1509978,0.242598,0.062601,0.0368652,0.214722,0.553,0.2807982,0.2616018,0.1145802,0.1397172,0.0098814,0.0668022,0.1053546,0.2469684,0.0616944,0.196116,0.2605872,0.201897,0.3055962,0.239157,0.089697,0.1916682,0.104539023,0.039996,0.3719922,0.2267538,0.315351,0.2351586,0.638,0.167
