Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
28,0.1050368,0.2409456,0.0397936,0.0657216,0.200156,0.625333333,0.2528952,0.2571264,0.1205104,0.165132,0.0703584,0.0659944,0.1173672,0.231752,0.1214744,0.2160176,0.2801736,0.1571808,0.2158592,0.1760352,0.1148128,0.1452344,0.169416154,0,0.2318152,0.2067616,0.2200784,0.1523408,0.062906341,0.087948
29,0.0933728,0.2152936,0.0415752,0.0545696,0.1906664,0.637466667,0.2487752,0.2704104,0.1194568,0.1511864,0.0656456,0.055632,0.0984368,0.2631712,0.1156512,0.190308,0.2536496,0.1601752,0.214392,0.1821472,0.123952,0.145692,0.173927285,0,0.2033336,0.2092472,0.2163424,0.1622392,0.050919588,0.082057
30,0.0844624,0.1989048,0.0460224,0.0457344,0.1851288,0.698533333,0.2478352,0.2821944,0.116196,0.1409728,0.05598,0.0438952,0.0801112,0.2948064,0.1118512,0.1724328,0.2371296,0.161408,0.2157056,0.1820448,0.1362016,0.1487456,0.178796618,0,0.1874536,0.2187,0.2179504,0.1802632,0.041812314,0.069975
31,0.0766048,0.1812752,0.0497312,0.041804,0.184632,0.7016,0.2475176,0.2897016,0.1144944,0.1310448,0.0484224,0.0355616,0.0630272,0.3249416,0.1131416,0.1591608,0.2236832,0.1569824,0.2198808,0.1800968,0.1435168,0.1521376,0.184009201,0,0.1874368,0.2328976,0.2094848,0.19,0.034404734,0.060528
32,0.0696496,0.157972,0.0519112,0.0422248,0.1919248,0.707066667,0.2451624,0.2918832,0.1174568,0.1213408,0.0429672,0.0294736,0.0486864,0.346296,0.1175928,0.1465976,0.2034448,0.1458416,0.2319336,0.1763136,0.1438264,0.1566224,0.189549162,0,0.2015144,0.2482528,0.1981624,0.199192,0.028141228,0.053709
33,0.062688,0.1372728,0.0482856,0.0426616,0.203616,0.708133333,0.2401248,0.29206,0.1203872,0.1144168,0.03696,0.0253576,0.0352432,0.356036,0.1215472,0.1337432,0.180716,0.1345256,0.2479544,0.1698136,0.1287272,0.1612584,0.202197576,0,0.231196,0.2686472,0.1966896,0.2165432,0.023929452,0.0462
34,0.0568208,0.1236904,0.0428016,0.0416264,0.2118056,0.725466667,0.240672,0.2838928,0.1203256,0.1110824,0.0325672,0.02376,0.0252704,0.358668,0.125588,0.1177456,0.162576,0.1236248,0.2599672,0.1534008,0.1022696,0.1688104,0.215014079,0,0.268316,0.2922704,0.2052896,0.2402016,0.020438993,0.040709
35,0.0524232,0.1135216,0.0446056,0.042048,0.2147552,0.719466667,0.2538704,0.2715608,0.1187824,0.1034264,0.0291008,0.0241656,0.0206112,0.3517592,0.1393752,0.0979864,0.15092,0.116704,0.2619864,0.1156664,0.0896984,0.1741024,0.227911154,0,0.2936392,0.3180352,0.2165112,0.2546856,0.017596764,0.036376
36,0.057484,0.1045312,0.0476592,0.0487472,0.2338464,0.7168,0.2680064,0.2902312,0.1189712,0.0973336,0.025884,0.0255184,0.020988,0.3500576,0.1493568,0.0897344,0.1396904,0.115652,0.2687128,0.0958416,0.0931128,0.1777656,0.240826045,0,0.3117008,0.3361696,0.2285056,0.2642616,0.014778215,0.032355
37,0.0714256,0.1089184,0.0469616,0.0589016,0.2603792,0.719466667,0.2768912,0.3065464,0.1202536,0.1031464,0.024032,0.0269808,0.0256296,0.3598048,0.14742,0.0918248,0.1376024,0.1245032,0.2787312,0.0874096,0.093628,0.18522,0.253713563,0.015665981,0.3317744,0.3482816,0.2385672,0.2696536,0.012308519,0.03004
