Emission;Technology;Fuel;Year;Timeslice;Mode_of_operation;Region;Season;Daytype;Daylitimebracket;Storage;ModalType;obsolete;Sectors
 ;X_DAC_LT; ; ; ; ; ; ; ; ; ; ; ; 
 ;X_Electrolysis; ; ; ; ; ; ; ; ; ; ; ; 
 ;X_Fuel_Cell; ; ; ; ; ; ; ; ; ; ; ; 
 ;X_Gasifier; ; ; ; ; ; ; ; ; ; ; ; 
 ;X_Liquifier; ; ; ; ; ; ; ; ; ; ; ; 
 ;X_Methanation; ; ; ; ; ; ; ; ; ; ; ; 
 ;X_Powerfuel; ; ; ; ; ; ; ; ; ; ; ; 
 ;X_SMR; ; ; ; ; ; ; ; ; ; ; ; 
 ;X_SMR_CCS; ; ; ; ; ; ; ; ; ; ; ; 
 ;Z_ETS_Buy; ; ; ; ; ; ; ; ; ; ; ; 
 ;Z_ETS_Sell; ; ; ; ; ; ; ; ; ; ; ; 
 ;Z_Import_Gas; ; ; ; ; ; ; ; ; ; ; ; 
 ;Z_Import_H2; ; ; ; ; ; ; ; ; ; ; ; 
 ;Z_Import_Hardcoal; ; ; ; ; ; ; ; ; ; ; ; 
 ;Z_Import_LNG; ; ; ; ; ; ; ; ; ; ; ; 
 ;Z_Import_Oil; ; ; ; ; ; ; ; ; ; ; ; 
