Technology,Subset,Value,,Unit,Source,Updated at,Updated by
R_Gas,FossilFuelGeneration,1,,Binary,not relevant,17.01.2024,Konstantin Löffler
Z_Import_Gas,FossilFuelGeneration,1,,Binary,not relevant,18.01.2024,Konstantin Löffler
Z_Import_Oil,FossilFuelGeneration,1,,Binary,not relevant,19.01.2024,Konstantin Löffler
Z_Import_Hardcoal,FossilFuelGeneration,1,,Binary,not relevant,20.01.2024,Konstantin Löffler
P_Coal_Hardcoal,FossilPower,1,,Binary,not relevant,21.01.2024,Konstantin Löffler
P_Coal_Lignite,FossilPower,1,,Binary,not relevant,22.01.2024,Konstantin Löffler
P_Nuclear,FossilPower,1,,Binary,not relevant,23.01.2024,Konstantin Löffler
P_Oil,FossilPower,1,,Binary,not relevant,24.01.2024,Konstantin Löffler
P_Coal_Hardcoal_CCS,FossilPower,1,,Binary,not relevant,25.01.2024,Konstantin Löffler
P_Coal_Lignite_CCS,FossilPower,1,,Binary,not relevant,26.01.2024,Konstantin Löffler
P_Gas_CCS,FossilPower,1,,Binary,not relevant,27.01.2024,Konstantin Löffler
P_Gas_CCGT,FossilPower,1,,Binary,not relevant,28.01.2024,Konstantin Löffler
P_Gas_OCGT,FossilPower,1,,Binary,not relevant,29.01.2024,Konstantin Löffler
P_Gas_Engines,FossilPower,1,,Binary,not relevant,30.01.2024,Konstantin Löffler
CHP_Coal_Hardcoal,FossilPower,1,,Binary,not relevant,31.01.2024,Konstantin Löffler
CHP_Coal_Lignite,FossilPower,1,,Binary,not relevant,01.02.2024,Konstantin Löffler
CHP_Gas_CCGT_Natural,FossilPower,1,,Binary,not relevant,02.02.2024,Konstantin Löffler
CHP_Coal_Hardcoal_CCS,FossilPower,1,,Binary,not relevant,03.02.2024,Konstantin Löffler
CHP_Coal_Lignite_CCS,FossilPower,1,,Binary,not relevant,04.02.2024,Konstantin Löffler
CHP_Gas_CCGT_Natural_CCS,FossilPower,1,,Binary,not relevant,05.02.2024,Konstantin Löffler
CHP_Oil,FossilPower,1,,Binary,not relevant,06.02.2024,Konstantin Löffler
CHP_Biomass_Solid,CHP,1,,Binary,not relevant,07.02.2024,Konstantin Löffler
CHP_Coal_Hardcoal,CHP,1,,Binary,not relevant,08.02.2024,Konstantin Löffler
CHP_Coal_Lignite,CHP,1,,Binary,not relevant,09.02.2024,Konstantin Löffler
CHP_Gas_CCGT_Natural,CHP,1,,Binary,not relevant,10.02.2024,Konstantin Löffler
CHP_Gas_CCGT_Biogas,CHP,1,,Binary,not relevant,11.02.2024,Konstantin Löffler
CHP_Gas_CCGT_SynGas,CHP,1,,Binary,not relevant,12.02.2024,Konstantin Löffler
CHP_Biomass_Solid_CCS,CHP,1,,Binary,not relevant,13.02.2024,Konstantin Löffler
CHP_Coal_Hardcoal_CCS,CHP,1,,Binary,not relevant,14.02.2024,Konstantin Löffler
CHP_Coal_Lignite_CCS,CHP,1,,Binary,not relevant,15.02.2024,Konstantin Löffler
CHP_Gas_CCGT_Natural_CCS,CHP,1,,Binary,not relevant,16.02.2024,Konstantin Löffler
CHP_Gas_CCGT_Biogas_CCS,CHP,1,,Binary,not relevant,17.02.2024,Konstantin Löffler
CHP_Hydrogen_FuelCell,CHP,1,,Binary,not relevant,18.02.2024,Konstantin Löffler
CHP_Oil,CHP,1,,Binary,not relevant,19.02.2024,Konstantin Löffler
HLI_Convert_DH,CHP,1,,Binary,not relevant,20.02.2024,Konstantin Löffler
HLR_Convert_DH,CHP,1,,Binary,not relevant,21.02.2024,Konstantin Löffler
FRT_Rail_Conv,Transport,1,,Binary,not relevant,22.02.2024,Konstantin Löffler
FRT_Rail_Electric,Transport,1,,Binary,not relevant,23.02.2024,Konstantin Löffler
FRT_Road_BEV,Transport,1,,Binary,not relevant,24.02.2024,Konstantin Löffler
FRT_Road_H2,Transport,1,,Binary,not relevant,25.02.2024,Konstantin Löffler
FRT_Road_ICE,Transport,1,,Binary,not relevant,26.02.2024,Konstantin Löffler
FRT_Road_PHEV,Transport,1,,Binary,not relevant,27.02.2024,Konstantin Löffler
FRT_Road_OH,Transport,1,,Binary,not relevant,28.02.2024,Konstantin Löffler
FRT_Ship_Bio,Transport,1,,Binary,not relevant,29.02.2024,Konstantin Löffler
FRT_Ship_Conv,Transport,1,,Binary,not relevant,01.03.2024,Konstantin Löffler
PSNG_Air_Bio,Transport,1,,Binary,not relevant,02.03.2024,Konstantin Löffler
PSNG_Air_Conv,Transport,1,,Binary,not relevant,03.03.2024,Konstantin Löffler
PSNG_Air_H2,Transport,1,,Binary,not relevant,04.03.2024,Konstantin Löffler
PSNG_Rail_Conv,Transport,1,,Binary,not relevant,05.03.2024,Konstantin Löffler
PSNG_Rail_Electric,Transport,1,,Binary,not relevant,06.03.2024,Konstantin Löffler
PSNG_Road_BEV,Transport,1,,Binary,not relevant,07.03.2024,Konstantin Löffler
PSNG_Road_H2,Transport,1,,Binary,not relevant,08.03.2024,Konstantin Löffler
PSNG_Road_ICE,Transport,1,,Binary,not relevant,09.03.2024,Konstantin Löffler
PSNG_Road_PHEV,Transport,1,,Binary,not relevant,10.03.2024,Konstantin Löffler
PSNG_Air_Bio,Passenger,1,,Binary,not relevant,11.03.2024,Konstantin Löffler
PSNG_Air_Conv,Passenger,1,,Binary,not relevant,12.03.2024,Konstantin Löffler
PSNG_Air_H2,Passenger,1,,Binary,not relevant,13.03.2024,Konstantin Löffler
PSNG_Rail_Conv,Passenger,1,,Binary,not relevant,14.03.2024,Konstantin Löffler
PSNG_Rail_Electric,Passenger,1,,Binary,not relevant,15.03.2024,Konstantin Löffler
PSNG_Road_BEV,Passenger,1,,Binary,not relevant,16.03.2024,Konstantin Löffler
PSNG_Road_H2,Passenger,1,,Binary,not relevant,17.03.2024,Konstantin Löffler
PSNG_Road_ICE,Passenger,1,,Binary,not relevant,18.03.2024,Konstantin Löffler
PSNG_Road_PHEV,Passenger,1,,Binary,not relevant,19.03.2024,Konstantin Löffler
FRT_Rail_Conv,Freight,1,,Binary,not relevant,20.03.2024,Konstantin Löffler
FRT_Rail_Electric,Freight,1,,Binary,not relevant,21.03.2024,Konstantin Löffler
FRT_Road_BEV,Freight,1,,Binary,not relevant,22.03.2024,Konstantin Löffler
FRT_Road_H2,Freight,1,,Binary,not relevant,23.03.2024,Konstantin Löffler
FRT_Road_ICE,Freight,1,,Binary,not relevant,24.03.2024,Konstantin Löffler
FRT_Road_PHEV,Freight,1,,Binary,not relevant,25.03.2024,Konstantin Löffler
FRT_Road_OH,Freight,1,,Binary,not relevant,26.03.2024,Konstantin Löffler
FRT_Ship_Bio,Freight,1,,Binary,not relevant,27.03.2024,Konstantin Löffler
FRT_Ship_Conv,Freight,1,,Binary,not relevant,28.03.2024,Konstantin Löffler
HLR_Gas_Boiler,Heat,1,,Binary,not relevant,29.03.2024,Konstantin Löffler
HLR_Biomass,Heat,1,,Binary,not relevant,30.03.2024,Konstantin Löffler
HLR_Hardcoal,Heat,1,,Binary,not relevant,31.03.2024,Konstantin Löffler
HLR_Lignite,Heat,1,,Binary,not relevant,01.04.2024,Konstantin Löffler
HLR_Direct_Electric,Heat,1,,Binary,not relevant,02.04.2024,Konstantin Löffler
HLR_Solar_Thermal,Heat,1,,Binary,not relevant,03.04.2024,Konstantin Löffler
HLR_Heatpump_Aerial,Heat,1,,Binary,not relevant,04.04.2024,Konstantin Löffler
HLR_Heatpump_Ground,Heat,1,,Binary,not relevant,05.04.2024,Konstantin Löffler
HLR_Geothermal,Heat,1,,Binary,not relevant,06.04.2024,Konstantin Löffler
HLR_Oil_Boiler,Heat,1,,Binary,not relevant,07.04.2024,Konstantin Löffler
HLI_Gas_Boiler,Heat,1,,Binary,not relevant,08.04.2024,Konstantin Löffler
HLI_Biomass,Heat,1,,Binary,not relevant,09.04.2024,Konstantin Löffler
HLI_Hardcoal,Heat,1,,Binary,not relevant,10.04.2024,Konstantin Löffler
HLI_Lignite,Heat,1,,Binary,not relevant,11.04.2024,Konstantin Löffler
HLI_Direct_Electric,Heat,1,,Binary,not relevant,12.04.2024,Konstantin Löffler
HLI_Solar_Thermal,Heat,1,,Binary,not relevant,13.04.2024,Konstantin Löffler
HLI_Fuelcell,Heat,1,,Binary,not relevant,14.04.2024,Konstantin Löffler
HLI_Geothermal,Heat,1,,Binary,not relevant,15.04.2024,Konstantin Löffler
HLI_Oil_Boiler,Heat,1,,Binary,not relevant,16.04.2024,Konstantin Löffler
HMI_Gas,Heat,1,,Binary,not relevant,17.04.2024,Konstantin Löffler
HMI_Biomass,Heat,1,,Binary,not relevant,18.04.2024,Konstantin Löffler
HMI_HardCoal,Heat,1,,Binary,not relevant,19.04.2024,Konstantin Löffler
HMI_Steam_Electric,Heat,1,,Binary,not relevant,20.04.2024,Konstantin Löffler
HMI_Oil,Heat,1,,Binary,not relevant,21.04.2024,Konstantin Löffler
HHI_BF_BOF,Heat,1,,Binary,not relevant,22.04.2024,Konstantin Löffler
HHI_DRI_EAF,Heat,1,,Binary,not relevant,23.04.2024,Konstantin Löffler
HHI_Scrap_EAF,Heat,1,,Binary,not relevant,24.04.2024,Konstantin Löffler
HHI_H2DRI_EAF,Heat,1,,Binary,not relevant,25.04.2024,Konstantin Löffler
HHI_Molten_Electrolysis,Heat,1,,Binary,not relevant,26.04.2024,Konstantin Löffler
HHI_Bio_BF_BOF,Heat,1,,Binary,not relevant,27.04.2024,Konstantin Löffler
HHI_BF_BOF_CCS,Heat,1,,Binary,not relevant,28.04.2024,Konstantin Löffler
