Region,Technology,Value
DE,HLI_Convert_DH,1
World,HLI_Convert_DH,1
DE,HLR_Convert_DH,1
World,HLR_Convert_DH,1
DE,CHP_Oil,31.536
World,CHP_Oil,31.536
DE,P_Gas_CCGT,31.536
World,P_Gas_CCGT,31.536
DE,P_Gas_OCGT,31.536
World,P_Gas_OCGT,31.536
DE,P_Gas_Engines,31.536
World,P_Gas_Engines,31.536
DE,RES_PV_Utility_Tracking,31.536
World,RES_PV_Utility_Tracking,31.536
