"ModalSplitByFuelAndModalType(r in REGION, f in FUEL, y in YEAR, md in MODALTYPE)", , , , , , , , , , , , , , , , , , , , 
Describes the distribution of technologies within a specific modal type., , , , , , , , , , , , , , , , , , , , 
Unit: Fraction, , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , 
Region,Fuel,Year,MT_PSNG_ROAD,MT_PSNG_RAIL,MT_PSNG_AIR,MT_FRT_ROAD,MT_FRT_RAIL,MT_FRT_SHIP,MT_PSNG_ROAD_RE,MT_PSNG_RAIL_RE,MT_PSNG_AIR_RE,MT_FRT_ROAD_RE,MT_FRT_RAIL_RE,MT_FRT_SHIP_RE,MT_PSNG_ROAD_CONV,MT_PSNG_RAIL_CONV,MT_PSNG_AIR_CONV,MT_FRT_ROAD_CONV,MT_FRT_RAIL_CONV,MT_FRT_SHIP_CONV
BE,Mobility_Freight,2030,0,0,0,"0,68","0,09","0,15",0,0,0,0,"0,06",0,0,0,0,"0,34",0,"0,06"
BE,Mobility_Freight,2035,0,0,0,"0,66","0,09","0,14",0,0,0,0,"0,06",0,0,0,0,"0,03",0,"0,02"
BE,Mobility_Freight,2040,0,0,0,"0,63","0,09","0,14",0,0,0,0,"0,06",0,0,0,0,0,0,0
BE,Mobility_Freight,2045,0,0,0,"0,61","0,08","0,13",0,0,0,0,"0,06",0,0,0,0,0,0,0
BE,Mobility_Freight,2050,0,0,0,"0,58","0,08","0,13",0,0,0,0,"0,05",0,0,0,0,0,0,0
BG,Mobility_Freight,2018,0,0,0,"0,56","0,19","0,24",0,0,0,0,"0,13",0,0,0,0,"0,54","0,05","0,24"
BG,Mobility_Freight,2020,0,0,0,"0,55","0,19","0,24",0,0,0,0,"0,13",0,0,0,0,"0,52","0,04","0,23"
BG,Mobility_Freight,2025,0,0,0,"0,54","0,18","0,23",0,0,0,0,"0,13",0,0,0,0,"0,4",0,"0,18"
BG,Mobility_Freight,2030,0,0,0,"0,52","0,17","0,22",0,0,0,0,"0,12",0,0,0,0,"0,26",0,"0,09"
BG,Mobility_Freight,2035,0,0,0,"0,5","0,17","0,22",0,0,0,0,"0,12",0,0,0,0,"0,02",0,"0,03"
BG,Mobility_Freight,2040,0,0,0,"0,48","0,16","0,21",0,0,0,0,"0,11",0,0,0,0,0,0,0
BG,Mobility_Freight,2045,0,0,0,"0,47","0,16","0,2",0,0,0,0,"0,11",0,0,0,0,0,0,0
BG,Mobility_Freight,2050,0,0,0,"0,44","0,15","0,19",0,0,0,0,"0,1",0,0,0,0,0,0,0
CH,Mobility_Freight,2018,0,0,0,"0,65","0,34",0,0,0,0,0,"0,24",0,0,0,0,"0,63","0,1",0
CH,Mobility_Freight,2020,0,0,0,"0,64","0,34",0,0,0,0,0,"0,24",0,0,0,0,"0,6","0,08",0
CH,Mobility_Freight,2025,0,0,0,"0,62","0,33",0,0,0,0,0,"0,23",0,0,0,0,"0,47",0,0
CH,Mobility_Freight,2030,0,0,0,"0,6","0,32",0,0,0,0,0,"0,22",0,0,0,0,"0,3",0,0
CH,Mobility_Freight,2035,0,0,0,"0,58","0,31",0,0,0,0,0,"0,22",0,0,0,0,"0,02",0,0
CH,Mobility_Freight,2040,0,0,0,"0,56","0,3",0,0,0,0,0,"0,21",0,0,0,0,0,0,0
CH,Mobility_Freight,2045,0,0,0,"0,54","0,29",0,0,0,0,0,"0,2",0,0,0,0,0,0,0
