"RegionalBaseYearProduction{r in REGION, t in TECHNOLOGY, f in FUEL}", , , 
Describes how much of a fuel has to be produced by specific technologies in the base year per region., , , 
Unit: PJ, , , 
 , , , 
Region,Technology,Fuel,2018
FI,CHP_Gas_CCGT_Natural,Heat_District,"23,971"
FI,CHP_Biomass_Solid,Heat_District,"154,62"
FR,HLR_Biomass,Heat_Low_Residential,"252,297"
FR,HLR_Hardcoal,Heat_Low_Residential,"11,715"
FR,HLR_Oil_Boiler,Heat_Low_Residential,"284,732"
FR,HLI_Biomass,Heat_Low_Industrial,"3,947"
FR,HLI_Hardcoal,Heat_Low_Industrial,"3,243"
FR,HLI_Direct_Electric,Heat_Low_Industrial,"0,245"
FR,HLI_Oil_Boiler,Heat_Low_Industrial,"4,799"
FR,*HLI_Gas_Boiler,Heat_Low_Industrial,"13,217"
FR,*HLI_Convert_DH,Heat_Low_Industrial,"3,135"
FR,HMI_Biomass,Heat_Medium_Industrial,"25,928"
FR,HMI_HardCoal,Heat_Medium_Industrial,"11,782"
FR,HMI_Steam_Electric,Heat_Medium_Industrial,"4,86"
FR,HMI_Oil,Heat_Medium_Industrial,"34,854"
FR,*HHI_BF_BOF,Heat_High_Industrial,"98,392"
FR,HHI_Bio_BF_BOF,Heat_High_Industrial,"6,043"
FR,HHI_Scrap_EAF,Heat_High_Industrial,"11,667"
FR,HHI_DRI_EAF,Heat_High_Industrial,"93,681"
FR,P_Gas_CCGT,Power,"77,0"
FR,P_Gas_Engines,Power,"0,265"
FR,P_Gas_OCGT,Power,"1,007"
FR,P_Biomass,Power,"29,951"
FR,P_Coal_Hardcoal,Power,"35,413"
FR,P_Oil,Power,"17,821"
FR,P_Nuclear,Power,"1486,591"
FR,HLR_Heatpump_Aerial,Heat_Low_Residential,"70,062"
FR,HLR_Heatpump_Ground,Heat_Low_Residential,"3,687"
FR,HLR_Direct_Electric,Heat_Low_Residential,"167,368"
FR,CHP_Coal_Hardcoal,Power,"2,541"
FR,CHP_Oil,Power,"2,763"
FR,CHP_Gas_CCGT_Natural,Power,"31,888"
FR,CHP_Biomass_Solid,Power,"18,717"
FR,CHP_Coal_Hardcoal,Heat_District,"7,207"
FR,CHP_Oil,Heat_District,"7,836"
FR,CHP_Gas_CCGT_Natural,Heat_District,"90,425"
FR,CHP_Biomass_Solid,Heat_District,"53,077"
GR,HLR_Biomass,Heat_Low_Residential,"36,741"
GR,HLR_Hardcoal,Heat_Low_Residential,"0,862"
GR,HLR_Oil_Boiler,Heat_Low_Residential,"70,959"
GR,HLI_Biomass,Heat_Low_Industrial,"2,898"
GR,HLI_Hardcoal,Heat_Low_Industrial,"0,488"
GR,HLI_Direct_Electric,Heat_Low_Industrial,"0,004"
GR,HLI_Oil_Boiler,Heat_Low_Industrial,"1,257"
GR,*HLI_Gas_Boiler,Heat_Low_Industrial,"0,643"
GR,*HLI_Convert_DH,Heat_Low_Industrial,"0,0"
GR,HMI_Biomass,Heat_Medium_Industrial,"2,547"
GR,HMI_HardCoal,Heat_Medium_Industrial,"1,738"
GR,HMI_Steam_Electric,Heat_Medium_Industrial,"0,041"
GR,HMI_Oil,Heat_Medium_Industrial,"8,46"
GR,*HHI_BF_BOF,Heat_High_Industrial,"3,793"
GR,HHI_Bio_BF_BOF,Heat_High_Industrial,"0,602"
GR,HHI_Scrap_EAF,Heat_High_Industrial,"2,182"
GR,HHI_DRI_EAF,Heat_High_Industrial,"5,924"
GR,P_Gas_CCGT,Power,"45,578"
GR,P_Gas_OCGT,Power,"0,856"
GR,P_Biomass,Power,"1,668"
GR,P_Oil,Power,"15,974"
GR,P_Coal_Lignite,Power,"60,477"
GR,HLR_Heatpump_Aerial,Heat_Low_Residential,"4,72"
GR,HLR_Heatpump_Ground,Heat_Low_Residential,"0,248"
GR,HLR_Direct_Electric,Heat_Low_Residential,"2,734"
GR,CHP_Coal_Hardcoal,Power,"1,019"
GR,CHP_Oil,Power,"2,669"
GR,CHP_Gas_CCGT_Natural,Power,"3,966"
GR,CHP_Biomass_Solid,Power,"0,048"
GR,CHP_Coal_Hardcoal,Heat_District,"2,07"
GR,CHP_Oil,Heat_District,"5,424"
GR,CHP_Gas_CCGT_Natural,Heat_District,"8,059"
GR,CHP_Biomass_Solid,Heat_District,"0,098"
HR,HLR_Biomass,Heat_Low_Residential,"16,202"
HR,HLR_Hardcoal,Heat_Low_Residential,"0,523"
HR,HLR_Oil_Boiler,Heat_Low_Residential,"7,604"
HR,HLI_Biomass,Heat_Low_Industrial,"0,129"
