"TradeCosts{f in FUEL, r in REGION1, rr in REGION2}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Costs for trading a fuel from one region to another., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Unit: M€/PJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,FR,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,GR,HR,HU,IE,IT,LT,LU,LV,NONEU_Balkan,NL,PL,PT,RO,SE,SI,SK,UK,TR,NO1,NO2,NO3,NO4,NO5
Biofuel,SI,"4,592173904767722","1,929521158827985","3,772777648669308","3,78000537595643","2,999872632357134","2,727869493824234","3,290100881356806","4,148540433710487",0,"4,788130770808296",0,"3,979042719423928","1,932648769699378","2,632019705625313",0,"2,796305193848038","4,239037285940429","3,532361848588186",0,"2,997921087807911","3,862184837390758","3,492728260095066",0,"3,568872140540745","5,044058928776945",0,"2,859692050832899",0,0,0,0,0,0,0
Biofuel,SK,"5,066847749103054","2,76119244610978","4,067647223405358","3,587661334661959","3,713895836630389","2,493999221149515","3,413659128892713","3,976562417666337","4,197325358738202",0,0,"4,097654223673008","2,899996113019488","1,931381652358942",0,"3,722020495447568","3,586132388676505","3,899440723877234","3,893291831794853","3,319795884506989","4,023944839691288","2,661138434228966",0,"3,028193885524042","4,719339773856191","2,859692050832899",0,0,0,0,0,0,0,0
Biofuel,TR,0,0,0,"2,79119859734861",0,0,0,0,0,0,0,"3,711517911863857",0,0,0,0,0,0,0,0,0,0,0,"3,764382315753432",0,0,0,0,0,0,0,0,0,0
Biofuel,UK,"3,198293050575118","4,498845038938002","3,294107883715022",0,"4,134837375123353","4,423200411287564","3,864551880678711","3,68046087820542",0,"4,687965678694683",0,0,0,0,"2,614387223485727","4,836076281267951",0,"3,565797264743752",0,0,"3,2069359155166","4,63027272952501","4,835020965110817",0,"4,608530499703703",0,0,0,0,"4,267140867450603","3,721836654045445","4,34731573923017","5,281670359267629","4,005927646552846"
Biofuel,NO1,"4,823431987630984",0,"4,191874665879089",0,0,"4,276935539635642","4,053225181612394","3,007319868043779","3,69769313317553",0,"3,771123801232328",0,0,0,"4,524633647403362",0,"3,871796500389401","4,296425844006106","3,860440776289164",0,"3,886324620996233","4,101205851792225",0,0,"2,858335323281074",0,0,"4,267140867450603",0,0,"2,272559709073204","2,106913896196634","3,982741951953752","2,02059302818539"
Biofuel,NO2,"4,505295915210157",0,"3,83757965898068",0,0,"4,149830241691555","3,83757965898068","2,457305099944694","3,992040169741211",0,"4,111591369197376",0,0,0,"4,176000561579898",0,"3,998221203048921","3,959354585598529","4,036536096587539",0,"3,521715494163921","4,056248643237275",0,0,"3,148303875253087",0,0,"3,721836654045445",0,"2,272559709073204",0,"2,716115252029955","4,283911443593126","2,016344959741732"
Biofuel,NO3,"5,035100896816328",0,"4,492335485204877",0,0,"4,638174461523815","4,466247116896503","3,457520515989775","3,86369031438988",0,"3,634511941443909",0,0,0,"4,645598356506541",0,"4,130776345259916","4,586966392170527","4,050198375699991",0,"4,231884962851407","4,38120733667767",0,0,"2,389256341203711",0,0,"4,34731573923017",0,"2,106913896196634","2,716115252029955",0,"3,613086195569013","2,362563244073919"
Biofuel,NO4,"5,87608042290247",0,"5,394339953705811",0,0,"5,368496115704715","5,30509764106365","4,673895174353164","4,220510740336723",0,"3,420864783239204",0,0,0,"5,461079159234144",0,"4,675119722154544","5,448413699405881","4,478014744479452",0,"5,186383726539071","5,089510559556176",0,0,"3,270137316874651",0,0,"5,281670359267629",0,"3,982741951953752","4,283911443593126","3,613086195569013",0,"4,066804564682496"
Biofuel,NO5,"4,740552712737181",0,"4,127833402542739",0,0,"4,382554936545095","4,127833402542739","2,97170597051317","4,036536096587539",0,"4,035013833149516",0,0,0,"4,310267708025695",0,"4,132246652694838","4,244627075258463","4,132246652694838",0,"3,827720016915931","4,21480656482405",0,0,"3,119521428734023",0,0,"4,005927646552846",0,"2,02059302818539","2,016344959741732","2,362563244073919","4,066804564682496",0
Biomass,AT,"0,4752376610672662",0,"0,4464823837821232","0,4569588023245784","0,4334444741645332","0,4250739972295211","0,4343034809739919","0,4549059882977937",0,"0,4826346956158649",0,"0,4638357605072654","0,4282901182955446","0,4311282040841647",0,"0,4376537529818981","0,4599655974896125","0,4410858875512073","0,4670032085652894","0,4422060875258684","0,4478947417872239","0,4406721323346313",0,"0,4498255317325459","0,4850523142257199","0,4216013303629891","0,4317961615845335","0,4726005727678871",0,0,0,0,0,0
