Region,Technology,Year,Value,Unnamed: 4,Unit,Source,Updated at,Updated by
World,P_Gas_CCS,2018,0.98,,Fraction,,,
World,X_SMR,2018,0.98,,Fraction,,,
World,X_ATR_CCS,2018,0.98,,Fraction,,,
World,A_Air,2018,1.0,,Fraction,,,
World,HLR_H2_Boiler,2018,0.98,,Fraction,,,
World,HLI_H2_Boiler,2018,0.98,,Fraction,,,
World,X_Biofuel,2018,1.0,,Fraction,,,
World,Z_Import_Electricity,2018,1.0,,Fraction,,,
World,A_Rooftop_Commercial,2018,1.0,,Fraction,,,
World,A_Rooftop_Residential,2018,1.0,,Fraction,,,
DE,D_Battery_Li-Ion,2018,1.0,,Fraction,,,
DE,D_Battery_Redox,2018,1.0,,Fraction,,,
DE,D_Gas_H2,2018,1.0,,Fraction,,,
DE,D_Gas_Methane,2018,1.0,,Fraction,,,
DE,D_Heat_HLI,2018,1.0,,Fraction,,,
DE,D_Heat_HLR,2018,1.0,,Fraction,,,
DE,D_PHS,2018,1.0,,Fraction,,,
DE,D_PHS_Residual,2018,1.0,,Fraction,,,
DE,D_CAES,2018,1.0,,Fraction,,,
DE,FRT_Rail_Conv,2018,0.95,,Fraction,,,
DE,FRT_Rail_Electric,2018,0.95,,Fraction,,,
DE,FRT_Road_OH,2018,0.0,,Fraction,,,
DE,FRT_Road_BEV,2018,0.0,,Fraction,,,
DE,FRT_Road_H2,2018,0.0,,Fraction,,,
DE,FRT_Road_ICE,2018,0.95,,Fraction,,,
DE,FRT_Road_PHEV,2018,0.0,,Fraction,,,
DE,FRT_Road_ICE_Bio,2018,0.95,,Fraction,,,
DE,FRT_Road_PHEV_Bio,2018,0.95,,Fraction,,,
DE,FRT_Ship_Bio,2018,0.95,,Fraction,,,
DE,FRT_Ship_Conv,2018,0.95,,Fraction,,,
DE,P_Biomass,2018,0.98,,Fraction,,,
DE,P_Coal_Hardcoal,2018,0.98,,Fraction,,,
DE,P_Coal_Lignite,2018,0.98,,Fraction,,,
DE,P_Gas,2018,0.98,,Fraction,,,
DE,P_Nuclear,2018,0.9,,Fraction,,,
DE,P_Oil,2018,0.98,,Fraction,,,
DE,PSNG_Air_Bio,2018,0.0,,Fraction,,,
DE,PSNG_Air_Conv,2018,0.95,,Fraction,,,
DE,PSNG_Air_H2,2018,0.0,,Fraction,,,
DE,PSNG_Rail_Conv,2018,0.95,,Fraction,,,
DE,PSNG_Rail_Electric,2018,0.95,,Fraction,,,
DE,PSNG_Road_BEV,2018,0.0,,Fraction,,,
DE,PSNG_Road_H2,2018,0.0,,Fraction,,,
DE,PSNG_Road_ICE,2018,0.95,,Fraction,,,
DE,PSNG_Road_PHEV,2018,0.0,,Fraction,,,
DE,PSNG_Road_ICE_Bio,2018,0.95,,Fraction,,,
DE,PSNG_Road_PHEV_Bio,2018,0.95,,Fraction,,,
DE,R_Coal_Hardcoal,2018,1.0,,Fraction,,,
DE,R_Coal_Lignite,2018,1.0,,Fraction,,,
DE,R_Gas,2018,1.0,,Fraction,,,
DE,R_Nuclear,2018,1.0,,Fraction,,,
DE,R_Oil,2018,1.0,,Fraction,,,
DE,RES_Biomass,2018,1.0,,Fraction,,,
DE,RES_CSP,2018,0.98,,Fraction,,,
DE,RES_CSP_Storage,2018,0.98,,Fraction,,,
DE,RES_Geothermal,2018,0.92,,Fraction,,,
DE,RES_Hydro_Small,2018,0.9,,Fraction,,,
DE,RES_Ocean,2018,0.36,,Fraction,,,
DE,RES_PV_Rooftop_Commercial,2018,0.98,,Fraction,,,
DE,RES_PV_Rooftop_Residential,2018,0.98,,Fraction,,,
DE,RES_PV_Utility_Avg,2018,0.98,,Fraction,,,
DE,RES_PV_Utility_Inf,2018,0.98,,Fraction,,,
DE,RES_PV_Utility_Opt,2018,0.98,,Fraction,,,
DE,RES_Wind_Offshore_Transitional,2018,0.98,,Fraction,,,
DE,RES_Wind_Offshore_Shallow,2018,0.98,,Fraction,,,
DE,RES_Wind_Offshore_Deep,2018,0.98,,Fraction,,,
DE,RES_Wind_Onshore_Avg,2018,0.98,,Fraction,,,
DE,RES_Wind_Onshore_Inf,2018,0.98,,Fraction,,,
DE,RES_Wind_Onshore_Opt,2018,0.98,,Fraction,,,
DE,X_Electrolysis,2018,0.982,,Fraction,,,
DE,X_Fuel_Cell,2018,0.982,,Fraction,,,
DE,X_Methanation,2018,0.982,,Fraction,,,
DE,A_CCS_Capacity,2018,1.0,,Fraction,,,
DE,CHP_Biomass_CCS,2018,0.84,,Fraction,,,
DE,P_Biomass_CCS,2018,0.84,,Fraction,,,
DE,HLR_Gas_Boiler,2018,0.98,,Fraction,,,
DE,HLR_Gas_CHP,2018,0.98,,Fraction,,,
DE,HLR_Biomass,2018,0.98,,Fraction,,,
DE,HLR_Biomass_CHP,2018,0.98,,Fraction,,,
DE,HLR_Hardcoal,2018,0.98,,Fraction,,,
DE,HLR_Lignite,2018,0.98,,Fraction,,,
DE,HLR_Hardcoal_CHP,2018,0.98,,Fraction,,,
DE,HLR_Lignite_CHP,2018,0.98,,Fraction,,,
DE,HLR_Direct_Electric,2018,0.98,,Fraction,,,
DE,HLR_Solar_Thermal,2018,0.98,,Fraction,,,
DE,HLR_Heatpump_Aerial,2018,0.98,,Fraction,,,
DE,HLR_Heatpump_Ground,2018,0.98,,Fraction,,,
DE,HLR_Geothermal,2018,0.0,,Fraction,,,
DE,HLR_Oil_Boiler,2018,0.98,,Fraction,,,
DE,HLI_Gas_Boiler,2018,0.98,,Fraction,,,
DE,HLI_Gas_CHP,2018,0.98,,Fraction,,,
DE,HLI_Biomass,2018,0.98,,Fraction,,,
DE,HLI_Biomass_CHP,2018,0.98,,Fraction,,,
DE,HLI_Hardcoal,2018,0.98,,Fraction,,,
DE,HLI_Lignite,2018,0.98,,Fraction,,,
DE,HLI_Hardcoal_CHP,2018,0.98,,Fraction,,,
DE,HLI_Lignite_CHP,2018,0.98,,Fraction,,,
DE,HLI_Solar_Thermal,2018,0.98,,Fraction,,,
DE,HLI_Fuelcell,2018,0.0,,Fraction,,,
DE,HLI_Geothermal,2018,0.0,,Fraction,,,
DE,HLI_Oil_Boiler,2018,0.98,,Fraction,,,
DE,HLI_Direct_Electric,2018,0.98,,Fraction,,,
DE,HLI_Oil_CHP,2018,0.98,,Fraction,,,
DE,HMI_Gas,2018,0.98,,Fraction,,,
DE,HMI_H2,2018,0.0,,Fraction,,,
DE,HMI_Biomass,2018,0.98,,Fraction,,,
DE,HMI_HardCoal,2018,0.98,,Fraction,,,
DE,HMI_Steam_Electric,2018,0.98,,Fraction,,,
DE,HMI_Oil,2018,0.98,,Fraction,,,
DE,HHI_BF_BOF,2018,0.98,,Fraction,,,
DE,HHI_DRI_EAF,2018,0.98,,Fraction,,,
DE,HHI_Scrap_EAF,2018,0.98,,Fraction,,,
DE,HHI_H2DRI_EAF,2018,0.0,,Fraction,,,
DE,HHI_Molten_Electrolysis,2018,0.0,,Fraction,,,
DE,HHI_Bio_BF_BOF,2018,0.0,,Fraction,,,
DE,CHP_Nuclear,2018,0.8,,Fraction,,,
DE,CHP_Nuclear,2018,0.8,,Fraction,,,
DE,HHI_BF_BOF_CCS,2018,0.98,,Fraction,,,
DE,HHI_DRI_EAF_CCS,2018,0.98,,Fraction,,,
DE,HLI_Biomass_CHP_CCS,2018,0.98,,Fraction,,,
DE,HLI_Hardcoal_CHP_CCS,2018,0.98,,Fraction,,,
DE,HLI_Lignite_CHP_CCS,2018,0.98,,Fraction,,,
DE,HLR_Biomass_CHP_CCS,2018,0.98,,Fraction,,,
DE,HLR_Hardcoal_CHP_CCS,2018,0.98,,Fraction,,,
DE,HLR_Lignite_CHP_CCS,2018,0.98,,Fraction,,,
DE,HMI_Gas_CCS,2018,0.98,,Fraction,,,
DE,HMI_HardCoal_CCS,2018,0.98,,Fraction,,,
DE,P_Coal_Hardcoal_CCS,2018,0.98,,Fraction,,,
DE,P_Coal_Lignite_CCS,2018,0.98,,Fraction,,,
DE,P_Gas_CCS,2018,0.98,,Fraction,,,
DE,X_SMR,2018,0.98,,Fraction,,,
DE,X_ATR_CCS,2018,0.98,,Fraction,,,
DE,X_DAC,2018,0.98,,Fraction,,,
DE,A_Air,2018,1.0,,Fraction,,,
DE,HLR_H2_Boiler,2018,0.0,,Fraction,,,
DE,HLI_H2_Boiler,2018,0.0,,Fraction,,,
DE,X_Biofuel,2018,0.0,,Fraction,,,
DE,X_Powerfuel,2018,0.0,,Fraction,,,
DE,RES_Biogas,2018,1.0,,Fraction,,,
DE,RES_Grass,2018,1.0,,Fraction,,,
DE,RES_Paper_Cardboard,2018,1.0,,Fraction,,,
DE,RES_Residues,2018,1.0,,Fraction,,,
DE,RES_Roundwood,2018,1.0,,Fraction,,,
DE,RES_Wood,2018,1.0,,Fraction,,,
DE,X_Gasifier,2018,0.98,,Fraction,,,
DE,X_Liquifier,2018,0.98,,Fraction,,,
DE,FRT_Road_LNG,2018,0.98,,Fraction,,,
DE,FRT_Ship_LNG,2018,0.98,,Fraction,,,
DE,PSNG_Road_LNG,2018,0.98,,Fraction,,,
DE,P_H2_OCGT,2018,0.98,,Fraction,,,
DE,X_DAC_LT,2018,0.98,,Fraction,,,
DE,X_DAC_HT,2018,0.98,,Fraction,,,
DE,Z_Import_H2,2018,1.0,,Fraction,,,
DE,Z_ETS_Buy,2018,1.0,,Fraction,,,
DE,Z_ETS_Sell,2018,1.0,,Fraction,,,
GR,RES_Hydro_Large,2018,0.4,,Fraction,,,
PL,RES_Hydro_Large,2018,0.6,,Fraction,,,
DE,P_Gas_CCGT,2018,0.87,,Fraction,,,
DE,P_Gas_OCGT,2018,0.87,,Fraction,,,
DE,P_Gas_Engines,2018,0.87,,Fraction,,,
DE,CHP_Biomass_Solid,2018,0.9,,Fraction,,,
DE,CHP_Coal_Hardcoal,2018,0.9,,Fraction,,,
DE,CHP_Coal_Lignite,2018,0.9,,Fraction,,,
DE,CHP_Gas_CCGT_Natural,2018,0.9,,Fraction,,,
DE,CHP_Gas_CCGT_Biogas,2018,0.9,,Fraction,,,
DE,CHP_Gas_CCGT_SynGas,2018,0.9,,Fraction,,,
DE,CHP_Biomass_Solid_CCS,2018,0.9,,Fraction,,,
DE,CHP_Coal_Hardcoal_CCS,2018,0.9,,Fraction,,,
DE,CHP_Coal_Lignite_CCS,2018,0.9,,Fraction,,,
DE,CHP_Gas_CCGT_Natural_CCS,2018,0.9,,Fraction,,,
DE,CHP_Gas_CCGT_Biogas_CCS,2018,0.9,,Fraction,,,
DE,CHP_Hydrogen_FuelCell,2018,0.0,,Fraction,,,
DE,HLI_Convert_DH,2018,1.0,,Fraction,,,
DE,HLR_Convert_DH,2018,1.0,,Fraction,,,
