Region,Technology,Emission,Year,Value
DE,CHP_Coal_Hardcoal_CCS,CO2,2050,1
World,CHP_Coal_Lignite,CO2,2018,1
DE,CHP_Coal_Lignite,CO2,2018,1
World,CHP_Coal_Lignite,CO2,2020,1
DE,CHP_Coal_Lignite,CO2,2020,1
World,CHP_Coal_Lignite,CO2,2025,1
DE,CHP_Coal_Lignite,CO2,2025,1
World,CHP_Coal_Lignite,CO2,2030,1
DE,CHP_Coal_Lignite,CO2,2030,1
World,CHP_Coal_Lignite,CO2,2035,1
DE,CHP_Coal_Lignite,CO2,2035,1
World,CHP_Coal_Lignite,CO2,2040,1
DE,CHP_Coal_Lignite,CO2,2040,1
World,CHP_Coal_Lignite,CO2,2045,1
DE,CHP_Coal_Lignite,CO2,2045,1
World,CHP_Coal_Lignite,CO2,2050,1
DE,CHP_Coal_Lignite,CO2,2050,1
DE,CHP_Coal_Lignite_CCS,CO2,2018,1
DE,CHP_Coal_Lignite_CCS,CO2,2020,1
DE,CHP_Coal_Lignite_CCS,CO2,2025,1
DE,CHP_Coal_Lignite_CCS,CO2,2030,1
DE,CHP_Coal_Lignite_CCS,CO2,2035,1
DE,CHP_Coal_Lignite_CCS,CO2,2040,1
DE,CHP_Coal_Lignite_CCS,CO2,2045,1
DE,CHP_Coal_Lignite_CCS,CO2,2050,1
World,CHP_Gas,CO2,2018,1
DE,CHP_Gas,CO2,2018,1
World,CHP_Gas,CO2,2020,1
DE,CHP_Gas,CO2,2020,1
World,CHP_Gas,CO2,2025,1
DE,CHP_Gas,CO2,2025,1
World,CHP_Gas,CO2,2030,1
DE,CHP_Gas,CO2,2030,1
World,CHP_Gas,CO2,2035,1
DE,CHP_Gas,CO2,2035,1
World,CHP_Gas,CO2,2040,1
DE,CHP_Gas,CO2,2040,1
World,CHP_Gas,CO2,2045,1
DE,CHP_Gas,CO2,2045,1
World,CHP_Gas,CO2,2050,1
DE,CHP_Gas,CO2,2050,1
DE,CHP_Gas_CCGT_Biogas,CO2,2018,1
DE,CHP_Gas_CCGT_Biogas,CO2,2020,1
DE,CHP_Gas_CCGT_Biogas,CO2,2025,1
DE,CHP_Gas_CCGT_Biogas,CO2,2030,1
DE,CHP_Gas_CCGT_Biogas,CO2,2035,1
DE,CHP_Gas_CCGT_Biogas,CO2,2040,1
DE,CHP_Gas_CCGT_Biogas,CO2,2045,1
DE,CHP_Gas_CCGT_Biogas,CO2,2050,1
DE,CHP_Gas_CCGT_Biogas_CCS,CO2,2018,1
DE,CHP_Gas_CCGT_Biogas_CCS,CO2,2020,1
DE,CHP_Gas_CCGT_Biogas_CCS,CO2,2025,1
DE,CHP_Gas_CCGT_Biogas_CCS,CO2,2030,1
DE,CHP_Gas_CCGT_Biogas_CCS,CO2,2035,1
DE,CHP_Gas_CCGT_Biogas_CCS,CO2,2040,1
DE,CHP_Gas_CCGT_Biogas_CCS,CO2,2045,1
DE,CHP_Gas_CCGT_Biogas_CCS,CO2,2050,1
DE,CHP_Gas_CCGT_Natural,CO2,2018,1
DE,CHP_Gas_CCGT_Natural,CO2,2020,1
DE,CHP_Gas_CCGT_Natural,CO2,2025,1
DE,CHP_Gas_CCGT_Natural,CO2,2030,1
DE,CHP_Gas_CCGT_Natural,CO2,2035,1
DE,CHP_Gas_CCGT_Natural,CO2,2040,1
DE,CHP_Gas_CCGT_Natural,CO2,2045,1
DE,CHP_Gas_CCGT_Natural,CO2,2050,1
DE,CHP_Gas_CCGT_Natural_CCS,CO2,2018,1
DE,CHP_Gas_CCGT_Natural_CCS,CO2,2020,1
DE,CHP_Gas_CCGT_Natural_CCS,CO2,2025,1
DE,CHP_Gas_CCGT_Natural_CCS,CO2,2030,1
DE,CHP_Gas_CCGT_Natural_CCS,CO2,2035,1
DE,CHP_Gas_CCGT_Natural_CCS,CO2,2040,1
DE,CHP_Gas_CCGT_Natural_CCS,CO2,2045,1
DE,CHP_Gas_CCGT_Natural_CCS,CO2,2050,1
DE,CHP_Gas_CCGT_SynGas,CO2,2018,1
DE,CHP_Gas_CCGT_SynGas,CO2,2020,1
DE,CHP_Gas_CCGT_SynGas,CO2,2025,1
DE,CHP_Gas_CCGT_SynGas,CO2,2030,1
DE,CHP_Gas_CCGT_SynGas,CO2,2035,1
DE,CHP_Gas_CCGT_SynGas,CO2,2040,1
DE,CHP_Gas_CCGT_SynGas,CO2,2045,1
DE,CHP_Gas_CCGT_SynGas,CO2,2050,1
DE,CHP_Hydrogen_FuelCell,CO2,2018,1
DE,CHP_Hydrogen_FuelCell,CO2,2020,1
DE,CHP_Hydrogen_FuelCell,CO2,2025,1
DE,CHP_Hydrogen_FuelCell,CO2,2030,1
DE,CHP_Hydrogen_FuelCell,CO2,2035,1
DE,CHP_Hydrogen_FuelCell,CO2,2040,1
DE,CHP_Hydrogen_FuelCell,CO2,2045,1
DE,CHP_Hydrogen_FuelCell,CO2,2050,1
DE,CHP_Oil,CO2,2018,1
DE,CHP_Oil,CO2,2020,1
DE,CHP_Oil,CO2,2025,1
