Region,Technology,Year,Value,,Source,Updated at,Updated by
DK,HMI_Biomass,2018,0.049,,,,
DK,HMI_Gas,2018,5.1962,,,,
DK,HMI_HardCoal,2018,0.1096,,,,
DK,HMI_Oil,2018,0.1023,,,,
DK,HMI_Steam_Electric,2018,0.0183,,,,
DK,P_Biomass,2018,1.696,,,,
DK,P_Coal_Hardcoal,2018,3.656,,,,
DK,P_Coal_Lignite,2018,0,,,,
DK,P_Gas,2018,1.350741,,,,
DK,P_Gas_OCGT,2018,1.826,,,,
DK,P_Nuclear,2018,0,,,,
DK,P_Oil,2018,1.007,,,,
DK,RES_Hydro_Large,2018,0,,,,
DK,RES_Hydro_Small,2018,0.006,,,,
DK,RES_PV_Utility_Avg,2018,0.955,,,,
DK,RES_Wind_Offshore_Transitional,2018,1.7,,,,
DK,RES_Wind_Onshore_Avg,2018,4.423,,,,
EE,CHP_Biomass_Solid,2018,0.145703836,,,,
EE,CHP_Coal_Hardcoal,2018,0.048637735,,,,
EE,CHP_Gas_CCGT_Natural,2018,0.000102885,,,,
EE,CHP_Oil,2018,0.030167039,,,,
EE,D_PHS,2018,0,,,,
EE,HHI_DRI_EAF,2018,0.004,,,,
EE,HHI_Scrap_EAF,2018,0.0005,,,,
EE,HLI_Biomass,2018,0.0471,,,,
EE,HLI_Direct_Electric,2018,0.0032,,,,
EE,HLI_Gas_Boiler,2018,0.3156,,,,
EE,HLI_Oil_Boiler,2018,0.0249,,,,
EE,HLR_Biomass,2018,0.5026,,,,
EE,HLR_Direct_Electric,2018,0.1477,,,,
EE,HLR_Gas_Boiler,2018,3.5145,,,,
EE,HLR_Oil_Boiler,2018,0.0544,,,,
EE,HMI_Biomass,2018,0.046,,,,
EE,HMI_Gas,2018,1.1123,,,,
EE,HMI_Oil,2018,0.1454,,,,
EE,HMI_Steam_Electric,2018,0.0019,,,,
EE,P_Biomass,2018,0.101,,,,
EE,P_Coal_Hardcoal,2018,7.385,,,,
EE,P_Coal_Lignite,2018,0,,,,
EE,P_Gas,2018,0.15,,,,
EE,P_Gas_CCGT,2018,0,,,,
EE,P_Gas_OCGT,2018,0.25,,,,
EE,P_Nuclear,2018,0,,,,
EE,P_Oil,2018,2,,,,
EE,RES_Hydro_Large,2018,0,,,,
EE,RES_Hydro_Small,2018,0,,,,
EE,RES_PV_Utility_Avg,2018,0,,,,
EE,RES_Wind_Offshore_Transitional,2018,0,,,,
EE,RES_Wind_Onshore_Avg,2018,0.4,,,,
EE,X_Gasifier,2018,0,,,,
ES,CHP_Biomass_Solid,2018,0.420882437,,,,
ES,CHP_Coal_Hardcoal,2018,0.106316208,,,,
ES,CHP_Gas_CCGT_Natural,2018,3.847406541,,,,
ES,CHP_Oil,2018,0.339977793,,,,
ES,D_PHS,2018,11.09,,,,
ES,HHI_BF_BOF,2018,9.3739,,,,
ES,HHI_DRI_EAF,2018,1.8063,,,,
ES,HHI_Scrap_EAF,2018,1.8832,,,,
ES,HLI_Biomass,2018,1.8011,,,,
ES,HLI_Direct_Electric,2018,0.5911,,,,
ES,HLI_Gas_Boiler,2018,15.7941,,,,
ES,HLI_Hardcoal,2018,0.0202,,,,
ES,HLI_Oil_Boiler,2018,1.7113,,,,
ES,HLR_Biomass,2018,5.9816,,,,
ES,HLR_Direct_Electric,2018,5.7199,,,,
ES,HLR_Gas_Boiler,2018,45.3678,,,,
ES,HLR_Oil_Boiler,2018,5.7123,,,,
ES,HMI_Biomass,2018,0.5746,,,,
ES,HMI_Gas,2018,62.9896,,,,
ES,HMI_HardCoal,2018,1.4202,,,,
ES,HMI_Oil,2018,1.6119,,,,
ES,HMI_Steam_Electric,2018,0.1642,,,,
ES,P_Biomass,2018,1.43,,,,
ES,P_Coal_Hardcoal,2018,7.407084,,,,
ES,P_Coal_Lignite,2018,2.16,,,,
ES,P_Gas,2018,31.72117793,,,,
ES,P_Gas_CCGT,2018,26.250145,,,,
ES,P_Gas_OCGT,2018,0.246,,,,
ES,P_Nuclear,2018,7.12,,,,
ES,P_Oil,2018,2.387695,,,,
ES,RES_Hydro_Large,2018,7.49,,,,
ES,RES_Hydro_Small,2018,1.33,,,,
ES,RES_PV_Utility_Avg,2018,5.915,,,,
ES,RES_Wind_Offshore_Transitional,2018,0,,,,
ES,RES_Wind_Onshore_Avg,2018,23.1,,,,
ES,X_Gasifier,2018,67.2,,,,
FI,CHP_Biomass_Solid,2018,4.033288643,,,,
FI,CHP_Coal_Hardcoal,2018,1.470895725,,,,
FI,CHP_Gas_CCGT_Natural,2018,1.025297578,,,,
FI,CHP_Oil,2018,0.033394883,,,,
FI,D_PHS,2018,0,,,,
FI,HHI_BF_BOF,2018,4.445,,,,
FI,HHI_DRI_EAF,2018,0.0546,,,,
FI,HHI_Scrap_EAF,2018,0.19,,,,
FI,HLI_Biomass,2018,4.4874,,,,
FI,HLI_Direct_Electric,2018,0.1049,,,,
FI,HLI_Gas_Boiler,2018,14.1942,,,,
FI,HLI_Hardcoal,2018,0.0503,,,,
FI,HLI_Oil_Boiler,2018,0.7114,,,,
FI,HLR_Biomass,2018,1.7245,,,,
FI,HLR_Direct_Electric,2018,1.9499,,,,
FI,HLR_Gas_Boiler,2018,19.4733,,,,
FI,HLR_Oil_Boiler,2018,0.8215,,,,
FI,HMI_Biomass,2018,0.147,,,,
FI,HMI_Gas,2018,11.4549,,,,
FI,HMI_HardCoal,2018,0.0167,,,,
FI,HMI_Oil,2018,2.425,,,,
FI,HMI_Steam_Electric,2018,0.0163,,,,
FI,P_Biomass,2018,1.99,,,,
FI,P_Coal_Hardcoal,2018,3.43,,,,
FI,P_Coal_Lignite,2018,0,,,,
FI,P_Gas,2018,1.87,,,,
FI,P_Gas_CCGT,2018,1.14,,,,
FI,P_Gas_OCGT,2018,1.179,,,,
FI,P_Nuclear,2018,2.75,,,,
FI,P_Oil,2018,3.41,,,,
FI,RES_Hydro_Large,2018,0,,,,
FI,RES_Hydro_Small,2018,3.15,,,,
FI,RES_PV_Utility_Avg,2018,0.1,,,,
FI,RES_Wind_Offshore_Transitional,2018,0,,,,
FI,RES_Wind_Onshore_Avg,2018,2,,,,
FI,X_Gasifier,2018,0,,,,
FR,CHP_Biomass_Solid,2018,1.98438435,,,,
FR,CHP_Coal_Hardcoal,2018,0.26943923,,,,
FR,CHP_Gas_CCGT_Natural,2018,3.380738206,,,,
FR,CHP_Oil,2018,0.292966439,,,,
FR,D_PHS,2018,4.512,,,,
FR,HHI_BF_BOF,2018,17.3623,,,,
FR,HHI_DRI_EAF,2018,2.513,,,,
FR,HHI_Scrap_EAF,2018,1.2524,,,,
FR,HLI_Biomass,2018,0.9578,,,,
FR,HLI_Direct_Electric,2018,0.1084,,,,
FR,HLI_Gas_Boiler,2018,20.8883,,,,
FR,HLI_Hardcoal,2018,0.2076,,,,
FR,HLI_Oil_Boiler,2018,1.0937,,,,
FR,HLR_Biomass,2018,9.4969,,,,
FR,HLR_Direct_Electric,2018,8.0768,,,,
FR,HLR_Gas_Boiler,2018,151.8843,,,,
FR,HLR_Hardcoal,2018,0.0789,,,,
FR,HLR_Oil_Boiler,2018,10.8763,,,,
FR,HMI_Biomass,2018,0.9569,,,,
FR,HMI_Gas,2018,73.7505,,,,
FR,HMI_HardCoal,2018,2.5442,,,,
