Fuel,Region,Region2,Value,,Unit,Source,Updated at,Updated by
LSG,LT,FR,0.0,,M€/PJ,,,
LSG,LU,FR,4.06386618,,M€/PJ,,,
LSG,LV,FR,0.0,,M€/PJ,,,
LSG,NL,FR,4.34821726,,M€/PJ,,,
LSG,NO,FR,5.865910869,,M€/PJ,,,
LSG,NONEU_Balkan,FR,4.989930577,,M€/PJ,,,
LSG,PL,FR,5.196450107,,M€/PJ,,,
LSG,PT,FR,3.111951067,,M€/PJ,,,
LSG,RO,FR,5.45096593,,M€/PJ,,,
LSG,SE,FR,5.796353175,,M€/PJ,,,
LSG,SI,FR,4.592173905,,M€/PJ,,,
LSG,SK,FR,5.066847749,,M€/PJ,,,
LSG,TR,FR,0.0,,M€/PJ,,,
LSG,UK,FR,3.198293051,,M€/PJ,,,
LNG,AT,FR,4.580037025,,M€/PJ,,,
LNG,BE,FR,4.081848965,,M€/PJ,,,
LNG,BG,FR,0.0,,M€/PJ,,,
LNG,CH,FR,3.952053305,,M€/PJ,,,
LNG,CZ,FR,4.785017302,,M€/PJ,,,
LNG,DE,FR,4.514018744,,M€/PJ,,,
LNG,DK,FR,4.968087585,,M€/PJ,,,
LNG,EE,FR,0.0,,M€/PJ,,,
LNG,ES,FR,2.17157615,,M€/PJ,,,
LNG,FI,FR,0.0,,M€/PJ,,,
LNG,FR,FR,0.0,,M€/PJ,,,
LNG,GR,FR,5.40036379,,M€/PJ,,,
LNG,HR,FR,4.722498565,,M€/PJ,,,
LNG,HU,FR,5.022339805,,M€/PJ,,,
LNG,IE,FR,4.346615222,,M€/PJ,,,
LNG,IT,FR,4.262429283,,M€/PJ,,,
LNG,LT,FR,0.0,,M€/PJ,,,
LNG,LU,FR,4.06386618,,M€/PJ,,,
LNG,LV,FR,0.0,,M€/PJ,,,
LNG,NL,FR,4.34821726,,M€/PJ,,,
LNG,NO,FR,5.865910869,,M€/PJ,,,
LNG,NONEU_Balkan,FR,4.989930577,,M€/PJ,,,
LNG,PL,FR,5.196450107,,M€/PJ,,,
LNG,PT,FR,3.111951067,,M€/PJ,,,
LNG,RO,FR,5.45096593,,M€/PJ,,,
LNG,SE,FR,5.796353175,,M€/PJ,,,
LNG,SI,FR,4.592173905,,M€/PJ,,,
LNG,SK,FR,5.066847749,,M€/PJ,,,
LNG,TR,FR,0.0,,M€/PJ,,,
LNG,UK,FR,3.198293051,,M€/PJ,,,
LBG,AT,FR,4.580037025,,M€/PJ,,,
LBG,BE,FR,4.081848965,,M€/PJ,,,
LBG,BG,FR,0.0,,M€/PJ,,,
LBG,CH,FR,3.952053305,,M€/PJ,,,
LBG,CZ,FR,4.785017302,,M€/PJ,,,
LBG,DE,FR,4.514018744,,M€/PJ,,,
LBG,DK,FR,4.968087585,,M€/PJ,,,
LBG,EE,FR,0.0,,M€/PJ,,,
LBG,ES,FR,2.17157615,,M€/PJ,,,
LBG,FI,FR,0.0,,M€/PJ,,,
LBG,FR,FR,0.0,,M€/PJ,,,
LBG,GR,FR,5.40036379,,M€/PJ,,,
LBG,HR,FR,4.722498565,,M€/PJ,,,
LBG,HU,FR,5.022339805,,M€/PJ,,,
LBG,IE,FR,4.346615222,,M€/PJ,,,
LBG,IT,FR,4.262429283,,M€/PJ,,,
LBG,LT,FR,0.0,,M€/PJ,,,
LBG,LU,FR,4.06386618,,M€/PJ,,,
LBG,LV,FR,0.0,,M€/PJ,,,
LBG,NL,FR,4.34821726,,M€/PJ,,,
LBG,NO,FR,5.865910869,,M€/PJ,,,
LBG,NONEU_Balkan,FR,4.989930577,,M€/PJ,,,
LBG,PL,FR,5.196450107,,M€/PJ,,,
LBG,PT,FR,3.111951067,,M€/PJ,,,
LBG,RO,FR,5.45096593,,M€/PJ,,,
LBG,SE,FR,5.796353175,,M€/PJ,,,
LBG,SI,FR,4.592173905,,M€/PJ,,,
LBG,SK,FR,5.066847749,,M€/PJ,,,
LBG,TR,FR,0.0,,M€/PJ,,,
LBG,UK,FR,3.198293051,,M€/PJ,,,
Powerfuel,AT,FR,4.580037025,,M€/PJ,,,
Powerfuel,BE,FR,4.081848965,,M€/PJ,,,
Powerfuel,BG,FR,0.0,,M€/PJ,,,
Powerfuel,CH,FR,3.952053305,,M€/PJ,,,
Powerfuel,CZ,FR,4.785017302,,M€/PJ,,,
Powerfuel,DE,FR,4.514018744,,M€/PJ,,,
Powerfuel,DK,FR,4.968087585,,M€/PJ,,,
Powerfuel,EE,FR,0.0,,M€/PJ,,,
Powerfuel,ES,FR,2.17157615,,M€/PJ,,,
Powerfuel,FI,FR,0.0,,M€/PJ,,,
Powerfuel,FR,FR,0.0,,M€/PJ,,,
Powerfuel,GR,FR,5.40036379,,M€/PJ,,,
Powerfuel,HR,FR,4.722498565,,M€/PJ,,,
Powerfuel,HU,FR,5.022339805,,M€/PJ,,,
Powerfuel,IE,FR,4.346615222,,M€/PJ,,,
Powerfuel,IT,FR,4.262429283,,M€/PJ,,,
Powerfuel,LT,FR,0.0,,M€/PJ,,,
Powerfuel,LU,FR,4.06386618,,M€/PJ,,,
Powerfuel,LV,FR,0.0,,M€/PJ,,,
Powerfuel,NL,FR,4.34821726,,M€/PJ,,,
Powerfuel,NO,FR,5.865910869,,M€/PJ,,,
Powerfuel,NONEU_Balkan,FR,4.989930577,,M€/PJ,,,
Powerfuel,PL,FR,5.196450107,,M€/PJ,,,
Powerfuel,PT,FR,3.111951067,,M€/PJ,,,
Powerfuel,RO,FR,5.45096593,,M€/PJ,,,
Powerfuel,SE,FR,5.796353175,,M€/PJ,,,
Powerfuel,SI,FR,4.592173905,,M€/PJ,,,
Powerfuel,SK,FR,5.066847749,,M€/PJ,,,
Powerfuel,TR,FR,0.0,,M€/PJ,,,
Powerfuel,UK,FR,3.198293051,,M€/PJ,,,
ETS,AT,FR,0.01,,M€/PJ,,,
ETS,BE,FR,0.01,,M€/PJ,,,
ETS,BG,FR,0.0,,M€/PJ,,,
ETS,CH,FR,0.01,,M€/PJ,,,
ETS,CZ,FR,0.01,,M€/PJ,,,
ETS,DE,FR,0.01,,M€/PJ,,,
ETS,DK,FR,0.01,,M€/PJ,,,
ETS,EE,FR,0.0,,M€/PJ,,,
ETS,ES,FR,0.01,,M€/PJ,,,
ETS,FI,FR,0.0,,M€/PJ,,,
ETS,FR,FR,0.0,,M€/PJ,,,
ETS,GR,FR,0.01,,M€/PJ,,,
ETS,HR,FR,0.01,,M€/PJ,,,
ETS,HU,FR,0.01,,M€/PJ,,,
ETS,IE,FR,0.01,,M€/PJ,,,
ETS,IT,FR,0.01,,M€/PJ,,,
ETS,LT,FR,0.0,,M€/PJ,,,
ETS,LU,FR,0.01,,M€/PJ,,,
ETS,LV,FR,0.0,,M€/PJ,,,
ETS,NL,FR,0.01,,M€/PJ,,,
ETS,NO,FR,0.01,,M€/PJ,,,
ETS,NONEU_Balkan,FR,0.01,,M€/PJ,,,
ETS,PL,FR,0.01,,M€/PJ,,,
ETS,PT,FR,0.01,,M€/PJ,,,
ETS,RO,FR,0.01,,M€/PJ,,,
ETS,SE,FR,0.01,,M€/PJ,,,
ETS,SI,FR,0.01,,M€/PJ,,,
ETS,SK,FR,0.01,,M€/PJ,,,
ETS,TR,FR,0.0,,M€/PJ,,,
ETS,UK,FR,0.01,,M€/PJ,,,
Biofuel,AT,FR,4.580037025,,M€/PJ,,,
Biofuel,BE,FR,4.081848965,,M€/PJ,,,
Biofuel,BG,FR,0.0,,M€/PJ,,,
Biofuel,CH,FR,3.952053305,,M€/PJ,,,
Biofuel,CZ,FR,4.785017302,,M€/PJ,,,
Biofuel,DE,FR,4.514018744,,M€/PJ,,,
Biofuel,DK,FR,4.968087585,,M€/PJ,,,
Biofuel,EE,FR,0.0,,M€/PJ,,,
Biofuel,ES,FR,2.17157615,,M€/PJ,,,
Biofuel,FI,FR,0.0,,M€/PJ,,,
Biofuel,FR,FR,0.0,,M€/PJ,,,
Biofuel,GR,FR,5.40036379,,M€/PJ,,,
Biofuel,HR,FR,4.722498565,,M€/PJ,,,
Biofuel,HU,FR,5.022339805,,M€/PJ,,,
Biofuel,IE,FR,4.346615222,,M€/PJ,,,
Biofuel,IT,FR,4.262429283,,M€/PJ,,,
Biofuel,LT,FR,0.0,,M€/PJ,,,
Biofuel,LU,FR,4.06386618,,M€/PJ,,,
Biofuel,LV,FR,0.0,,M€/PJ,,,
Biofuel,NL,FR,4.34821726,,M€/PJ,,,
Biofuel,NO,FR,5.865910869,,M€/PJ,,,
Biofuel,NONEU_Balkan,FR,4.989930577,,M€/PJ,,,
Biofuel,PL,FR,5.196450107,,M€/PJ,,,
Biofuel,PT,FR,3.111951067,,M€/PJ,,,
Biofuel,RO,FR,5.45096593,,M€/PJ,,,
Biofuel,SE,FR,5.796353175,,M€/PJ,,,
Biofuel,SI,FR,4.592173905,,M€/PJ,,,
Biofuel,SK,FR,5.066847749,,M€/PJ,,,
Biofuel,TR,FR,0.0,,M€/PJ,,,
Biofuel,UK,FR,3.198293051,,M€/PJ,,,
Gas_Natural,AT,FR,0.047023457,,M€/PJ,,,
Gas_Natural,BE,FR,0.03533657,,M€/PJ,,,
Gas_Natural,BG,FR,0.0,,M€/PJ,,,
Gas_Natural,CH,FR,0.032613907,,M€/PJ,,,
Gas_Natural,CZ,FR,0.052419574,,M€/PJ,,,
Gas_Natural,DE,FR,0.045359577,,M€/PJ,,,
Gas_Natural,DK,FR,0.057537547,,M€/PJ,,,
Gas_Natural,EE,FR,0.0,,M€/PJ,,,
Gas_Natural,ES,FR,0.00738195,,M€/PJ,,,
Gas_Natural,FI,FR,0.0,,M€/PJ,,,
Gas_Natural,FR,FR,0.0,,M€/PJ,,,
Gas_Natural,GR,FR,0.070770906,,M€/PJ,,,
Gas_Natural,HR,FR,0.050736633,,M€/PJ,,,
Gas_Natural,HU,FR,0.059109164,,M€/PJ,,,
Gas_Natural,IE,FR,0.041299715,,M€/PJ,,,
Gas_Natural,IT,FR,0.039343381,,M€/PJ,,,
Gas_Natural,LT,FR,0.0,,M€/PJ,,,
Gas_Natural,LU,FR,0.034951563,,M€/PJ,,,
Gas_Natural,LV,FR,0.0,,M€/PJ,,,
Gas_Natural,NL,FR,0.041337494,,M€/PJ,,,
Gas_Natural,NO,FR,0.086888217,,M€/PJ,,,
Gas_Natural,NONEU_Balkan,FR,0.05816727,,M€/PJ,,,
Gas_Natural,PL,FR,0.064324779,,M€/PJ,,,
Gas_Natural,PT,FR,0.018025133,,M€/PJ,,,
Gas_Natural,RO,FR,0.072427711,,M€/PJ,,,
Gas_Natural,SE,FR,0.084354199,,M€/PJ,,,
Gas_Natural,SI,FR,0.047333247,,M€/PJ,,,
Gas_Natural,SK,FR,0.060417423,,M€/PJ,,,
Gas_Natural,TR,FR,0.0,,M€/PJ,,,
Gas_Natural,UK,FR,0.019291626,,M€/PJ,,,
Gas_Bio,AT,FR,0.047023457,,M€/PJ,,,
Gas_Bio,BE,FR,0.03533657,,M€/PJ,,,
Gas_Bio,BG,FR,0.0,,M€/PJ,,,
Gas_Bio,CH,FR,0.032613907,,M€/PJ,,,
Gas_Bio,CZ,FR,0.052419574,,M€/PJ,,,
Gas_Bio,DE,FR,0.045359577,,M€/PJ,,,
Gas_Bio,DK,FR,0.057537547,,M€/PJ,,,
Gas_Bio,EE,FR,0.0,,M€/PJ,,,
Gas_Bio,ES,FR,0.00738195,,M€/PJ,,,
Gas_Bio,FI,FR,0.0,,M€/PJ,,,
Gas_Bio,FR,FR,0.0,,M€/PJ,,,
Gas_Bio,GR,FR,0.070770906,,M€/PJ,,,
Gas_Bio,HR,FR,0.050736633,,M€/PJ,,,
Gas_Bio,HU,FR,0.059109164,,M€/PJ,,,
Gas_Bio,IE,FR,0.041299715,,M€/PJ,,,
Gas_Bio,IT,FR,0.039343381,,M€/PJ,,,
Gas_Bio,LT,FR,0.0,,M€/PJ,,,
Gas_Bio,LU,FR,0.034951563,,M€/PJ,,,
Gas_Bio,LV,FR,0.0,,M€/PJ,,,
Gas_Bio,NL,FR,0.041337494,,M€/PJ,,,
Gas_Bio,NO,FR,0.086888217,,M€/PJ,,,
Gas_Bio,NONEU_Balkan,FR,0.05816727,,M€/PJ,,,
Gas_Bio,PL,FR,0.064324779,,M€/PJ,,,
Gas_Bio,PT,FR,0.018025133,,M€/PJ,,,
Gas_Bio,RO,FR,0.072427711,,M€/PJ,,,
Gas_Bio,SE,FR,0.084354199,,M€/PJ,,,
Gas_Bio,SI,FR,0.047333247,,M€/PJ,,,
Gas_Bio,SK,FR,0.060417423,,M€/PJ,,,
Gas_Bio,TR,FR,0.0,,M€/PJ,,,
Gas_Bio,UK,FR,0.019291626,,M€/PJ,,,
Gas_Synth,AT,FR,0.047023457,,M€/PJ,,,
Gas_Synth,BE,FR,0.03533657,,M€/PJ,,,
Gas_Synth,BG,FR,0.0,,M€/PJ,,,
Gas_Synth,CH,FR,0.032613907,,M€/PJ,,,
Gas_Synth,CZ,FR,0.052419574,,M€/PJ,,,
Gas_Synth,DE,FR,0.045359577,,M€/PJ,,,
Gas_Synth,DK,FR,0.057537547,,M€/PJ,,,
Gas_Synth,EE,FR,0.0,,M€/PJ,,,
Gas_Synth,ES,FR,0.00738195,,M€/PJ,,,
Gas_Synth,FI,FR,0.0,,M€/PJ,,,
Gas_Synth,FR,FR,0.0,,M€/PJ,,,
Gas_Synth,GR,FR,0.070770906,,M€/PJ,,,
Gas_Synth,HR,FR,0.050736633,,M€/PJ,,,
Gas_Synth,HU,FR,0.059109164,,M€/PJ,,,
Gas_Synth,IE,FR,0.041299715,,M€/PJ,,,
Gas_Synth,IT,FR,0.039343381,,M€/PJ,,,
Gas_Synth,LT,FR,0.0,,M€/PJ,,,
Gas_Synth,LU,FR,0.034951563,,M€/PJ,,,
Gas_Synth,LV,FR,0.0,,M€/PJ,,,
Gas_Synth,NL,FR,0.041337494,,M€/PJ,,,
Gas_Synth,NO,FR,0.086888217,,M€/PJ,,,
Gas_Synth,NONEU_Balkan,FR,0.05816727,,M€/PJ,,,
Gas_Synth,PL,FR,0.064324779,,M€/PJ,,,
Gas_Synth,PT,FR,0.018025133,,M€/PJ,,,
Gas_Synth,RO,FR,0.072427711,,M€/PJ,,,
Gas_Synth,SE,FR,0.084354199,,M€/PJ,,,
Gas_Synth,SI,FR,0.047333247,,M€/PJ,,,
Gas_Synth,SK,FR,0.060417423,,M€/PJ,,,
Gas_Synth,TR,FR,0.0,,M€/PJ,,,
Gas_Synth,UK,FR,0.019291626,,M€/PJ,,,
Distance,AT,AT,0.0,,M€/PJ,,,
Distance,BE,AT,770.2368282,,M€/PJ,,,
Distance,BG,AT,1022.450618,,M€/PJ,,,
Distance,CH,AT,456.3566044,,M€/PJ,,,
Distance,CZ,AT,254.8421553,,M€/PJ,,,
Distance,DE,AT,477.0367025,,M€/PJ,,,
Distance,DK,AT,973.0302934,,M€/PJ,,,
Distance,EE,AT,0.0,,M€/PJ,,,
Distance,ES,AT,1640.583077,,M€/PJ,,,
Distance,FI,AT,0.0,,M€/PJ,,,
Distance,FR,AT,1462.503697,,M€/PJ,,,
Distance,GR,AT,1188.009457,,M€/PJ,,,
Distance,HR,AT,332.2684322,,M€/PJ,,,
Distance,HU,AT,400.5937258,,M€/PJ,,,
Distance,IE,AT,0.0,,M€/PJ,,,
Distance,IT,AT,557.6925866,,M€/PJ,,,
Distance,LT,AT,1094.837494,,M€/PJ,,,
Distance,LU,AT,640.3192651,,M€/PJ,,,
Distance,LV,AT,1264.263959,,M€/PJ,,,
Distance,NL,AT,804.2385401,,M€/PJ,,,
Distance,NO,AT,0.0,,M€/PJ,,,
