Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
6769,1,1,1,1,1,0.68235206,0.903470377,0.872943789,1,0.640683528,0.845567494,1,0.97012612,0.737615066,0.904759277,1,1,1,1,0.904566341,0.97012612,1,1,0.97012612,0.737615066,0.872943789,0.872943789,0.872943789,1,0.845567494
6770,1,1,1,1,1,0.682071845,0.903148736,0.872831997,1,0.640597464,0.845393313,1,0.969785496,0.73750693,0.90487784,1,1,1,1,0.904479902,0.969785496,1,1,0.969785496,0.73750693,0.872831997,0.872831997,0.872831997,1,0.845393313
6771,1,1,1,1,1,0.681782885,0.902887297,0.872693009,1,0.640544421,0.845295644,1,0.969412437,0.737623683,0.904997536,1,1,1,1,0.904396883,0.969412437,1,1,0.969412437,0.737623683,0.872693009,0.872693009,0.872693009,1,0.845295644
6772,1,1,1,1,1,0.681485918,0.902668499,0.872546515,1,0.640515795,0.845250121,1,0.969070244,0.73755037,0.905125388,1,1,1,1,0.904324691,0.969070244,1,1,0.969070244,0.73755037,0.872546515,0.872546515,0.872546515,1,0.845250121
6773,1,1,1,1,1,0.681182024,0.902470543,0.872393363,1,0.640489882,0.8451684,1,0.968772868,0.737461092,0.905230805,1,1,1,1,0.904224685,0.968772868,1,1,0.968772868,0.737461092,0.872393363,0.872393363,0.872393363,1,0.8451684
6774,1,1,1,1,1,0.680883147,0.902286228,0.872286275,1,0.640459152,0.845055572,1,0.968340894,0.737342018,0.905618382,1,1,1,1,0.904115094,0.968340894,1,1,0.968340894,0.737342018,0.872286275,0.872286275,0.872286275,1,0.845055572
6775,1,1,1,1,1,0.680591819,0.902118925,0.872217394,1,0.640420742,0.844868668,1,0.967900588,0.737172421,0.90539575,1,1,1,1,0.904009531,0.967900588,1,1,0.967900588,0.737172421,0.872217394,0.872217394,0.872217394,1,0.844868668
6776,1,1,1,1,1,0.68031076,0.901962639,0.872152065,1,0.640374757,0.844721677,1,0.967433872,0.736964738,0.905194292,1,1,1,1,0.903898392,0.967433872,1,1,0.967433872,0.736964738,0.872152065,0.872152065,0.872152065,1,0.844721677
6777,1,1,1,1,1,0.680040393,0.901763003,0.872042615,1,0.640341979,0.844644774,1,0.966884285,0.736711457,0.905019192,1,1,1,1,0.903779881,0.966884285,1,1,0.966884285,0.736711457,0.872042615,0.872042615,0.872042615,1,0.844644774
6778,1,1,1,1,1,0.679769491,0.901527835,0.871909369,1,0.640323308,0.844643685,1,0.966360013,0.736421303,0.904855987,1,1,1,1,0.903653204,0.966360013,1,1,0.966360013,0.736421303,0.871909369,0.871909369,0.871909369,1,0.844643685
6779,1,1,1,1,1,0.679475406,0.901305717,0.871784536,1,0.640306244,0.844649758,1,0.965371759,0.736145574,0.904701058,1,1,1,1,0.90351577,0.965371759,1,1,0.965371759,0.736145574,0.871784536,0.871784536,0.871784536,1,0.844649758
