Region,Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
FI,EE,Power,2018,0.365,,GW,,,
EE,EE,Power,2018,0,,GW,,,
LV,EE,Power,2018,0.75,,GW,,,
LV,EE,gas_natural,2018,261.088987,,PJ,,,
LT,LT,Power,2018,0,,GW,,,
LV,LT,Power,2018,1.45,,GW,,,
LV,LT,gas_natural,2018,92.73652543,,PJ,,,
EE,LV,Power,2018,0.8,,GW,,,
LT,LV,Power,2018,1.5,,GW,,,
LV,LV,Power,2018,0,,GW,,,
EE,LV,gas_natural,2018,285.3431552,,PJ,,,
LT,LV,gas_natural,2018,96.1606433,,PJ,,,
BG,TR,Power,2018,1,,GW,,,
GR,TR,Power,2018,1,,GW,,,
TR,TR,Power,2018,0,,GW,,,
BG,TR,gas_natural,2018,0,,PJ,,,
